Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2016-02-08,7:30 PM,Florida Panthers,0,Detroit Red Wings,3,,Detroit Red Wings,Florida Panthers,0.5833333333333334,0.7666666666666667
2016-02-08,7:00 PM,New Jersey Devils,1,New York Rangers,2,,New York Rangers,New Jersey Devils,0.48333333333333334,0.55
2016-02-08,7:30 PM,Tampa Bay Lightning,1,Ottawa Senators,5,,Ottawa Senators,Tampa Bay Lightning,0.4166666666666667,0.6833333333333333
2016-02-08,7:00 PM,Anaheim Ducks,2,Pittsburgh Penguins,6,,Pittsburgh Penguins,Anaheim Ducks,0.55,0.65
2016-02-09,7:00 PM,Los Angeles Kings,9,Boston Bruins,2,,Los Angeles Kings,Boston Bruins,0.5833333333333334,0.65
2016-02-09,7:00 PM,Florida Panthers,7,Buffalo Sabres,4,,Florida Panthers,Buffalo Sabres,0.4666666666666667,0.7333333333333333
2016-02-09,7:00 PM,New York Islanders,3,Columbus Blue Jackets,2,SO,New York Islanders,Columbus Blue Jackets,0.45,0.6166666666666667
2016-02-09,9:00 PM,Toronto Maple Leafs,3,Calgary Flames,4,,Calgary Flames,Toronto Maple Leafs,0.5333333333333333,0.48333333333333334
2016-02-09,8:30 PM,San Jose Sharks,2,Chicago Blackhawks,0,,San Jose Sharks,Chicago Blackhawks,0.7666666666666667,0.5333333333333333
2016-02-09,9:00 PM,Vancouver Canucks,3,Colorado Avalanche,1,,Vancouver Canucks,Colorado Avalanche,0.6166666666666667,0.5
2016-02-09,8:00 PM,Dallas Stars,4,Minnesota Wild,3,OT,Dallas Stars,Minnesota Wild,0.48333333333333334,0.5833333333333334
2016-02-09,7:30 PM,Tampa Bay Lightning,2,Montreal Canadiens,4,,Montreal Canadiens,Tampa Bay Lightning,0.3,0.65
2016-02-09,8:00 PM,Edmonton Oilers,1,New Jersey Devils,2,,New Jersey Devils,Edmonton Oilers,0.55,0.48333333333333334
2016-02-09,8:00 PM,Washington Capitals,5,Nashville Predators,3,,Washington Capitals,Nashville Predators,0.5,0.8166666666666667
2016-02-09,7:00 PM,Anaheim Ducks,4,Philadelphia Flyers,1,,Anaheim Ducks,Philadelphia Flyers,0.6,0.65
2016-02-09,8:00 PM,Winnipeg Jets,2,St. Louis Blues,1,SO,Winnipeg Jets,St. Louis Blues,0.5833333333333334,0.45
2016-02-10,9:30 PM,Vancouver Canucks,2,Arizona Coyotes,1,,Vancouver Canucks,Arizona Coyotes,0.48333333333333334,0.5
2016-02-10,7:00 PM,Ottawa Senators,1,Detroit Red Wings,3,,Detroit Red Wings,Ottawa Senators,0.5833333333333334,0.45
2016-02-10,8:00 PM,New York Rangers,3,Pittsburgh Penguins,0,,New York Rangers,Pittsburgh Penguins,0.5666666666666667,0.5166666666666667
2016-02-11,7:00 PM,Anaheim Ducks,3,Columbus Blue Jackets,4,SO,Columbus Blue Jackets,Anaheim Ducks,0.4666666666666667,0.65
2016-02-11,8:30 PM,Dallas Stars,4,Chicago Blackhawks,2,,Dallas Stars,Chicago Blackhawks,0.7333333333333333,0.5833333333333334
2016-02-11,9:00 PM,Toronto Maple Leafs,2,Edmonton Oilers,5,,Edmonton Oilers,Toronto Maple Leafs,0.48333333333333334,0.4666666666666667
2016-02-11,8:00 PM,Washington Capitals,4,Minnesota Wild,3,,Washington Capitals,Minnesota Wild,0.4666666666666667,0.8166666666666667
2016-02-11,7:00 PM,Los Angeles Kings,2,New York Islanders,5,,New York Islanders,Los Angeles Kings,0.6166666666666667,0.6666666666666666
2016-02-11,7:30 PM,Colorado Avalanche,4,Ottawa Senators,3,,Colorado Avalanche,Ottawa Senators,0.4166666666666667,0.5833333333333334
2016-02-11,7:00 PM,Buffalo Sabres,1,Philadelphia Flyers,5,,Philadelphia Flyers,Buffalo Sabres,0.6,0.43333333333333335
